Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Money Supply M1,1959-01-31T00:00:00,138.9,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1959-02-28T00:00:00,139.4,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1959-03-31T00:00:00,139.7,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1959-04-30T00:00:00,139.7,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1959-05-31T00:00:00,140.7,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1959-06-30T00:00:00,141.2,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1959-07-31T00:00:00,141.7,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1959-08-31T00:00:00,141.9,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1959-09-30T00:00:00,141,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1959-10-31T00:00:00,140.5,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1959-11-30T00:00:00,140.4,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1959-12-31T00:00:00,139.9,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1960-01-31T00:00:00,140,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1960-02-29T00:00:00,139.9,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1960-03-31T00:00:00,139.8,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1960-04-30T00:00:00,139.6,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1960-05-31T00:00:00,139.6,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1960-06-30T00:00:00,139.6,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1960-07-31T00:00:00,140.2,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1960-08-31T00:00:00,141.3,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1960-09-30T00:00:00,141.2,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1960-10-31T00:00:00,140.9,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1960-11-30T00:00:00,140.9,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1960-12-31T00:00:00,140.7,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1961-01-31T00:00:00,141.1,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1961-02-28T00:00:00,141.6,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1961-03-31T00:00:00,141.9,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1961-04-30T00:00:00,142.1,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1961-05-31T00:00:00,142.7,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1961-06-30T00:00:00,142.9,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1961-07-31T00:00:00,142.9,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1961-08-31T00:00:00,143.5,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1961-09-30T00:00:00,143.8,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1961-10-31T00:00:00,144.1,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1961-11-30T00:00:00,144.8,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1961-12-31T00:00:00,145.2,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1962-01-31T00:00:00,145.2,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1962-02-28T00:00:00,145.7,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1962-03-31T00:00:00,146,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1962-04-30T00:00:00,146.4,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1962-05-31T00:00:00,146.8,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1962-06-30T00:00:00,146.6,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1962-07-31T00:00:00,146.5,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1962-08-31T00:00:00,146.6,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1962-09-30T00:00:00,146.3,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1962-10-31T00:00:00,146.7,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1962-11-30T00:00:00,147.3,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1962-12-31T00:00:00,147.8,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1963-01-31T00:00:00,148.3,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1963-02-28T00:00:00,148.9,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1963-03-31T00:00:00,149.2,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1963-04-30T00:00:00,149.7,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1963-05-31T00:00:00,150.4,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1963-06-30T00:00:00,150.4,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1963-07-31T00:00:00,151.3,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1963-08-31T00:00:00,151.8,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1963-09-30T00:00:00,152,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1963-10-31T00:00:00,152.6,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1963-11-30T00:00:00,153.6,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1963-12-31T00:00:00,153.3,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1964-01-31T00:00:00,153.7,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1964-02-29T00:00:00,154.3,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1964-03-31T00:00:00,154.5,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1964-04-30T00:00:00,154.8,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1964-05-31T00:00:00,155.3,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1964-06-30T00:00:00,155.6,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1964-07-31T00:00:00,156.8,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1964-08-31T00:00:00,157.8,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1964-09-30T00:00:00,158.7,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1964-10-31T00:00:00,159.2,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1964-11-30T00:00:00,160,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1964-12-31T00:00:00,160.3,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1965-01-31T00:00:00,160.7,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1965-02-28T00:00:00,160.9,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1965-03-31T00:00:00,161.5,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1965-04-30T00:00:00,162,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1965-05-31T00:00:00,161.7,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1965-06-30T00:00:00,162.2,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1965-07-31T00:00:00,163,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1965-08-31T00:00:00,163.7,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1965-09-30T00:00:00,164.8,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1965-10-31T00:00:00,166,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1965-11-30T00:00:00,166.7,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1965-12-31T00:00:00,167.8,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1966-01-31T00:00:00,169.1,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1966-02-28T00:00:00,169.6,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1966-03-31T00:00:00,170.5,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1966-04-30T00:00:00,171.8,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1966-05-31T00:00:00,171.3,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1966-06-30T00:00:00,171.6,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1966-07-31T00:00:00,170.3,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1966-08-31T00:00:00,170.8,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1966-09-30T00:00:00,172,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1966-10-31T00:00:00,171.2,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1966-11-30T00:00:00,171.4,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1966-12-31T00:00:00,172,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1967-01-31T00:00:00,171.9,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1967-02-28T00:00:00,173,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1967-03-31T00:00:00,174.8,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1967-04-30T00:00:00,174.2,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1967-05-31T00:00:00,175.7,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1967-06-30T00:00:00,177,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1967-07-31T00:00:00,178.1,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1967-08-31T00:00:00,179.7,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1967-09-30T00:00:00,180.7,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1967-10-31T00:00:00,181.6,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1967-11-30T00:00:00,182.4,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1967-12-31T00:00:00,183.3,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1968-01-31T00:00:00,184.3,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1968-02-29T00:00:00,184.7,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1968-03-31T00:00:00,185.5,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1968-04-30T00:00:00,186.6,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1968-05-31T00:00:00,188,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1968-06-30T00:00:00,189.4,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1968-07-31T00:00:00,190.5,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1968-08-31T00:00:00,191.8,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1968-09-30T00:00:00,192.7,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1968-10-31T00:00:00,194,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1968-11-30T00:00:00,196,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1968-12-31T00:00:00,197.4,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1969-01-31T00:00:00,198.7,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1969-02-28T00:00:00,199.3,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1969-03-31T00:00:00,200,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1969-04-30T00:00:00,200.7,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1969-05-31T00:00:00,200.8,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1969-06-30T00:00:00,201.3,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1969-07-31T00:00:00,201.7,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1969-08-31T00:00:00,201.7,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1969-09-30T00:00:00,202.1,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1969-10-31T00:00:00,202.9,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1969-11-30T00:00:00,203.6,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1969-12-31T00:00:00,203.9,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1970-01-31T00:00:00,206.2,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1970-02-28T00:00:00,205,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1970-03-31T00:00:00,205.7,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1970-04-30T00:00:00,206.7,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1970-05-31T00:00:00,207.2,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1970-06-30T00:00:00,207.6,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1970-07-31T00:00:00,208,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1970-08-31T00:00:00,209.9,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1970-09-30T00:00:00,211.8,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1970-10-31T00:00:00,212.9,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1970-11-30T00:00:00,213.7,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1970-12-31T00:00:00,214.4,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1971-01-31T00:00:00,215.5,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1971-02-28T00:00:00,217.4,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1971-03-31T00:00:00,218.8,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1971-04-30T00:00:00,220,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1971-05-31T00:00:00,222,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1971-06-30T00:00:00,223.5,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1971-07-31T00:00:00,224.9,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1971-08-31T00:00:00,225.6,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1971-09-30T00:00:00,226.5,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1971-10-31T00:00:00,227.2,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1971-11-30T00:00:00,227.8,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1971-12-31T00:00:00,228.3,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1972-01-31T00:00:00,230.1,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1972-02-29T00:00:00,232.3,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1972-03-31T00:00:00,234.3,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1972-04-30T00:00:00,235.6,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1972-05-31T00:00:00,235.9,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1972-06-30T00:00:00,236.6,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1972-07-31T00:00:00,238.8,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1972-08-31T00:00:00,240.9,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1972-09-30T00:00:00,243.2,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1972-10-31T00:00:00,245,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1972-11-30T00:00:00,246.4,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1972-12-31T00:00:00,249.2,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1973-01-31T00:00:00,251.5,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1973-02-28T00:00:00,252.2,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1973-03-31T00:00:00,251.7,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1973-04-30T00:00:00,252.7,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1973-05-31T00:00:00,254.9,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1973-06-30T00:00:00,256.7,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1973-07-31T00:00:00,257.5,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1973-08-31T00:00:00,257.7,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1973-09-30T00:00:00,257.9,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1973-10-31T00:00:00,259,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1973-11-30T00:00:00,261,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1973-12-31T00:00:00,262.9,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1974-01-31T00:00:00,263.8,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1974-02-28T00:00:00,265.3,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1974-03-31T00:00:00,266.7,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1974-04-30T00:00:00,267.2,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1974-05-31T00:00:00,267.6,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1974-06-30T00:00:00,268.5,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1974-07-31T00:00:00,269.3,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1974-08-31T00:00:00,270.1,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1974-09-30T00:00:00,271,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
